ITL,ITL code,Region name,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
ITL2,TLD4,Lancashire,"1,412,688","1,410,858","1,414,141","1,417,265","1,420,076","1,427,668","1,434,024","1,440,141","1,445,983","1,449,418","1,451,175","1,452,916","1,457,298","1,461,295","1,465,418","1,470,467","1,475,344","1,481,431","1,488,803","1,496,853","1,503,339","1,513,857","1,520,252","1,532,158","1,550,490"
ITL3,TLD41,Blackburn with Darwen,"139,568","138,233","138,196","138,453","139,538","140,429","141,418","142,145","143,110","143,942","144,902","146,197","146,966","147,657","148,532","149,148","149,579","150,490","151,497","152,312","152,787","154,066","154,564","154,954","155,762"
ITL3,TLD42,Blackpool,"144,120","142,995","143,035","142,270","142,164","142,658","143,143","143,688","143,733","143,644","142,921","142,578","142,753","142,080","142,565","142,733","142,253","141,788","141,996","142,121","141,880","142,407","141,560","140,976","141,574"
ITL3,TLD44,Lancaster and Wyre,"237,158","238,098","238,567","239,849","240,072","241,881","243,232","244,952","245,117","244,710","244,057","244,070","245,032","245,515","245,918","246,192","246,234","246,563","247,146","247,385","248,014","249,339","251,290","254,785","259,255"
ITL3,TLD45,Mid Lancashire,"359,370","360,554","361,603","361,714","363,949","367,446","370,709","373,152","375,784","377,889","378,661","379,010","380,505","382,625","382,505","383,163","384,333","385,898","387,218","389,571","391,394","394,856","397,481","402,604","409,863"
ITL3,TLD46,East Lancashire,"324,789","324,295","324,626","325,940","324,461","323,978","323,156","323,119","324,124","324,151","324,572","324,796","324,836","325,210","325,942","327,336","329,227","330,738","333,110","335,444","338,159","340,683","341,981","343,832","346,045"
ITL3,TLD47,Chorley and West Lancashire,"207,683","206,683","208,114","209,039","209,892","211,276","212,366","213,085","214,115","215,082","216,062","216,265","217,206","218,208","219,956","221,895","223,718","225,954","227,836","230,020","231,105","232,506","233,376","235,007","237,991"
ITL2,TLD6,Cheshire,"861,767","860,850","862,976","865,460","867,620","871,894","874,687","879,968","885,010","890,926","894,700","897,196","899,913","902,971","907,646","913,337","921,067","927,267","934,711","942,398","948,975","956,163","959,568","969,386","979,801"
ITL3,TLD61,Warrington,"189,569","190,320","190,629","191,202","191,615","191,987","191,837","192,992","194,603","196,559","198,187","200,057","201,309","202,709","203,914","205,905","208,056","209,575","210,873","212,137","212,008","212,245","211,627","211,182","211,580"
ITL3,TLD62,Cheshire East,"352,066","350,932","351,234","352,104","353,348","355,529","357,354","359,807","362,049","365,003","367,160","368,023","369,051","370,736","372,501","373,956","376,574","378,511","381,414","384,221","386,891","390,556","393,203","400,474","406,527"
ITL3,TLD63,Cheshire West and Chester,"320,132","319,598","321,113","322,154","322,657","324,378","325,496","327,169","328,358","329,364","329,353","329,116","329,553","329,526","331,231","333,476","336,437","339,181","342,424","346,040","350,076","353,362","354,738","357,730","361,694"
ITL2,TLD7,Merseyside,"1,506,770","1,497,774","1,493,165","1,486,369","1,485,289","1,485,214","1,486,988","1,488,817","1,489,519","1,489,535","1,491,749","1,495,425","1,500,704","1,506,492","1,507,352","1,508,304","1,512,487","1,518,273","1,527,115","1,533,538","1,540,983","1,546,117","1,546,236","1,552,288","1,571,045"
ITL3,TLD71,East Merseyside,"449,744","448,184","447,275","446,623","445,589","444,970","444,914","444,657","445,262","445,198","445,835","445,978","446,403","447,030","448,037","448,710","450,682","452,060","454,008","455,755","458,852","461,790","464,018","466,942","470,795"
ITL3,TLD72,Liverpool,"453,238","448,417","446,050","441,858","443,784","444,960","448,091","452,278","453,055","453,582","454,468","457,523","461,403","465,656","465,365","465,815","465,745","469,953","475,486","479,801","483,598","484,687","483,348","485,022","496,770"
ITL3,TLD73,Sefton,"285,159","284,162","283,337","282,884","280,866","279,913","278,853","276,957","275,852","275,085","274,735","274,153","273,820","273,969","273,979","273,814","275,143","275,546","276,707","276,962","277,890","278,908","278,621","279,693","281,027"
ITL3,TLD74,Wirral,"318,629","317,011","316,503","315,004","315,050","315,371","315,130","314,925","315,350","315,670","316,711","317,771","319,078","319,837","319,971","319,965","320,917","320,714","320,914","321,020","320,643","320,732","320,249","320,631","322,453"
ITL1,TLE,Yorkshire and The Humber,"4,957,703","4,956,325","4,958,609","4,976,643","5,000,111","5,026,314","5,063,199","5,108,408","5,134,016","5,164,138","5,198,675","5,223,344","5,254,788","5,288,212","5,313,486","5,335,092","5,356,428","5,377,362","5,408,058","5,427,784","5,443,883","5,464,651","5,468,487","5,482,455","5,541,262"
ITL2,TLE1,East Yorkshire and Northern Lincolnshire,"876,664","874,966","873,900","875,682","880,339","887,042","894,919","900,831","903,857","908,016","912,437","913,088","915,263","918,047","920,439","921,431","924,757","925,798","930,712","933,578","934,259","935,933","935,988","936,778","942,957"
ITL3,TLE11,"Kingston upon Hull, City of","259,764","255,872","252,286","249,913","249,463","250,604","253,049","255,159","255,497","255,761","256,746","256,079","256,174","256,123","258,085","259,094","260,896","262,711","265,338","267,566","268,223","268,749","267,591","266,516","268,852"
ITL3,TLE12,East Riding of Yorkshire,"306,845","309,144","311,511","314,854","318,633","321,869","325,117","327,268","328,587","330,865","332,464","332,748","333,599","334,673","334,972","334,572","335,625","334,735","336,323","336,697","337,192","338,944","341,050","343,145","346,309"
ITL3,TLE13,North and North East Lincolnshire,"310,055","309,950","310,103","310,915","312,243","314,569","316,753","318,404","319,773","321,390","323,227","324,261","325,490","327,251","327,382","327,765","328,236","328,352","329,051","329,315","328,844","328,240","327,347","327,117","327,796"
ITL2,TLE2,North Yorkshire,"734,384","739,157","744,717","751,385","755,274","760,090","766,602","772,215","776,276","781,017","785,747","788,794","794,098","798,989","803,120","805,319","805,878","806,923","808,662","810,837","811,641","814,537","813,068","820,478","828,052"
ITL3,TLE21,York,"176,277","177,145","179,107","181,291","182,088","183,960","186,643","188,214","188,977","189,770","190,768","192,398","195,070","197,783","199,157","201,168","202,206","203,212","202,892","203,546","203,906","203,877","202,169","201,851","204,551"
ITL3,TLE22,North Yorkshire CC,"558,107","562,012","565,610","570,094","573,186","576,130","579,959","584,001","587,299","591,247","594,979","596,396","599,028","601,206","603,963","604,151","603,672","603,711","605,770","607,291","607,735","610,660","610,899","618,627","623,501"
ITL2,TLE3,South Yorkshire,"1,273,604","1,269,924","1,266,337","1,266,475","1,271,309","1,276,501","1,283,439","1,293,188","1,299,676","1,306,289","1,315,448","1,323,855","1,332,871","1,343,805","1,348,437","1,352,510","1,356,290","1,359,690","1,366,070","1,368,187","1,372,522","1,374,386","1,373,015","1,374,792","1,392,105"
