ITL,ITL code,Region name,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
ITL3,TLJ22,East Sussex CC,4611,4857,5071,5312,5548,5774,5895,6204,6474,6657,7140,6896,6952,7019,7051,7233,7597,8059,8543,8754,8957,9344,9255,10050,10688
ITL3,TLJ25,West Surrey,14407,15400,16343,16925,17367,18030,18408,19275,20553,21254,22478,22180,22806,23107,23907,25062,26544,27978,28454,29357,30616,32643,33092,33688,35312
ITL3,TLJ26,East Surrey,8007,8440,8748,9169,9443,9656,10212,10814,11918,12371,12728,12851,13062,12947,13717,14388,14528,14197,13963,14167,13465,13791,12958,13882,15994
ITL3,TLJ27,West Sussex (South West),4947,5387,5629,5770,6164,6498,6552,6699,7015,7277,7769,7466,7706,7807,8221,8475,8578,9067,9571,10272,10731,11155,10924,11649,12923
ITL3,TLJ28,West Sussex (North East),6537,6875,7070,7199,7510,7740,7786,8000,8463,8767,9452,9169,9477,9601,10004,10127,10471,11138,11578,12059,12579,12983,11577,12437,13802
ITL2,TLJ3,Hampshire and Isle of Wight,27920,28460,30024,31628,33270,34552,36545,38407,39563,41715,43846,43561,45144,46617,48068,49827,51467,52987,54010,56612,58072,62018,59699,63009,69543
ITL3,TLJ31,Portsmouth,2828,2910,3040,3197,3392,3554,3808,4040,4188,4480,4774,4748,4842,4946,5233,5374,5562,5546,5508,5832,5929,6436,6371,6743,7509
ITL3,TLJ32,Southampton,3347,3419,3528,3710,4013,4267,4722,5005,5114,5412,5743,5948,6115,6571,6632,6772,6981,7468,7533,8276,8558,8856,8475,8931,10023
ITL3,TLJ34,Isle of Wight,1195,1238,1298,1344,1448,1520,1620,1678,1769,1813,1924,1859,1895,1966,2064,2202,2318,2364,2317,2420,2451,2637,2554,2747,3067
ITL3,TLJ35,South Hampshire,5610,5645,5955,6240,6506,6682,6979,7323,7600,7962,8392,8185,8603,8849,9236,9530,10056,10196,10487,10851,10576,11044,10627,11259,12145
ITL3,TLJ36,Central Hampshire,8010,8149,8570,8986,9221,9587,10019,10495,10775,11284,11755,11539,11982,12290,12660,13046,13583,14280,14571,15134,15491,16422,15462,16664,18662
ITL3,TLJ37,North Hampshire,6930,7098,7634,8152,8689,8942,9397,9865,10115,10765,11259,11281,11706,11996,12243,12901,12966,13132,13593,14098,15068,16623,16209,16665,18137
ITL2,TLJ4,Kent,21077,21822,22371,23300,24342,25704,26973,28546,29326,30468,32601,31159,32056,33028,33798,34910,36354,38163,40009,41373,42927,45287,44561,46538,50692
ITL3,TLJ41,Medway,2590,2658,2693,2825,2981,3178,3350,3580,3749,3902,4157,4055,4172,4271,4471,4622,4729,4849,5064,5353,5491,5902,5993,6000,6715
ITL3,TLJ43,Kent Thames Gateway,4187,4316,4383,4569,4891,5183,5332,5523,5598,5837,6268,5807,5976,6152,6358,6586,7016,7478,8028,7951,8250,8799,8590,9237,9523
ITL3,TLJ44,East Kent,5172,5426,5702,5875,6030,6395,6814,7184,7280,7471,8103,7718,7899,8154,8190,8413,8743,9055,9261,9756,10070,10328,10081,10525,11841
ITL3,TLJ45,Mid Kent,3536,3647,3754,3923,4106,4324,4541,4792,4998,5243,5567,5297,5453,5582,5681,5834,6184,6465,6652,6853,7176,7745,7641,7966,8726
ITL3,TLJ46,West Kent,5591,5775,5839,6108,6334,6624,6936,7468,7702,8015,8505,8282,8556,8869,9098,9455,9682,10316,11004,11461,11941,12513,12257,12810,13887
ITL1,TLK,South West,67077,70356,73645,77758,81163,85524,90115,94207,98642,102598,107557,106048,109315,110603,113972,117200,123446,126136,130663,137317,140949,146854,140362,156289,172264
ITL2,TLK1,"Gloucestershire, Wiltshire and Bath/Bristol Area",34324,35908,37678,40566,42269,44402,46452,48303,50234,53262,55749,55579,57826,58084,60222,61834,65701,66918,69406,72232,74295,78015,74882,82317,90942
ITL3,TLK11,"Bristol, City of",6367,6657,7023,7637,7972,8342,8809,9090,9531,10284,10781,11064,11552,11504,12013,12236,12841,13400,14245,15242,15103,15910,15369,17543,19306
ITL3,TLK12,"Bath and North East Somerset, North Somerset and South Gloucestershire",9223,9691,10261,10993,11550,12168,12732,13199,13727,14297,15035,14781,15270,15567,16330,16650,17861,17996,18840,19147,19957,20945,20488,22523,25333
ITL3,TLK13,Gloucestershire CC,8985,9335,9720,10331,10625,11085,11543,12057,12352,12962,13343,13291,14046,14005,14396,14921,15684,15771,16047,17129,17591,18743,17851,19470,20442
ITL3,TLK14,Swindon,3950,4106,4266,4674,4922,5310,5560,5920,6371,7043,7508,7487,7572,7429,7508,7763,8438,8930,9132,9283,9818,10174,9334,9795,11469
ITL3,TLK15,Wiltshire,5800,6119,6408,6931,7200,7496,7809,8036,8254,8676,9082,8956,9385,9578,9975,10264,10877,10820,11142,11432,11826,12243,11840,12987,14391
ITL2,TLK2,Dorset and Somerset,15211,16127,17026,17337,17862,18700,19614,20822,21787,22309,23598,23063,23320,23776,24309,24896,26228,26711,27568,29468,30410,31335,30187,32900,36045
ITL3,TLK23,Somerset CC,6137,6484,6821,6929,7193,7502,7911,8377,8789,8907,9345,9152,9241,9488,9693,9729,10426,10644,10830,11609,12035,12307,11960,12768,14113
ITL3,TLK24,"Bournemouth, Christchurch and Poole",4909,5189,5446,5645,5777,6167,6485,6927,7273,7561,7961,7881,7897,8038,8158,8594,8897,9116,9650,10432,10422,10827,10372,11449,12346
ITL3,TLK25,Dorset,4165,4454,4760,4764,4891,5032,5217,5518,5724,5841,6293,6030,6183,6250,6458,6573,6905,6952,7087,7427,7953,8201,7855,8683,9585
ITL2,TLK3,Cornwall and Isles of Scilly,4927,5080,5374,5667,6122,6650,6900,7269,7786,7937,8382,7989,8088,8321,8585,8841,9189,9471,9937,10839,11116,11485,10950,12602,13852
ITL3,TLK30,Cornwall and Isles of Scilly,4927,5080,5374,5667,6122,6650,6900,7269,7786,7937,8382,7989,8088,8321,8585,8841,9189,9471,9937,10839,11116,11485,10950,12602,13852
ITL2,TLK4,Devon,12615,13240,13567,14188,14911,15772,17149,17813,18835,19091,19828,19416,20081,20423,20855,21629,22328,23036,23752,24778,25126,26019,24343,28469,31426
ITL3,TLK41,Plymouth,2773,2923,2967,3144,3270,3470,3815,3947,4205,4261,4468,4400,4535,4671,4790,4921,5047,5213,5418,5570,5724,5874,5487,6253,6970
ITL3,TLK42,Torbay,1156,1225,1255,1311,1358,1425,1586,1656,1743,1769,1809,1736,1782,1773,1775,1845,1867,1857,1890,1891,1839,1932,1839,2208,2404
ITL3,TLK43,Devon CC,8686,9092,9344,9733,10283,10877,11748,12211,12887,13060,13551,13281,13764,13978,14290,14864,15415,15965,16444,17318,17564,18214,17017,20008,22053
ITL1,TLL,Wales,32715,33391,35010,36150,37781,40275,42672,44530,46804,48604,49100,48559,49808,51738,53472,55346,56743,58509,60831,62822,65188,68040,64841,68053,74545
ITL2,TLL1,West Wales and The Valleys,18403,18485,19232,19825,20784,22051,23583,24610,25803,26585,27154,26547,27389,28319,29025,30344,31298,32139,33194,34413,35513,37196,34913,36823,40408
ITL3,TLL11,Isle of Anglesey,578,584,610,631,655,720,818,828,856,863,870,807,801,848,870,879,886,940,1002,1019,1082,1151,1014,1139,1345
ITL3,TLL12,Gwynedd,1329,1320,1366,1405,1519,1643,1727,1846,1972,2015,2050,1989,1965,2040,2098,2199,2179,2226,2224,2345,2389,2464,2217,2426,2611
ITL3,TLL13,Conwy and Denbighshire,1833,1853,1932,2020,2165,2297,2437,2531,2637,2677,2718,2621,2714,2819,2855,3047,3153,3236,3373,3587,3658,3751,3622,3796,4131
ITL3,TLL14,South West Wales,3611,3563,3680,3888,4051,4342,4820,4851,4964,5253,5311,5013,5157,5283,5515,5871,5904,6499,6637,6767,6876,7334,6796,7241,8201
ITL3,TLL15,Central Valleys,2574,2611,2695,2747,2924,3064,3227,3433,3642,3733,3866,4010,4226,4374,4496,4659,4813,4757,4984,5082,5177,5290,5073,5195,5777
ITL3,TLL16,Gwent Valleys,2919,2922,3073,3122,3229,3390,3560,3728,3908,3946,3974,3898,4039,4266,4335,4504,4590,4736,4868,5079,5316,5586,5320,5641,6268
ITL3,TLL17,Bridgend and Neath Port Talbot,2978,3011,3149,3118,3216,3374,3492,3664,3935,4051,4169,3978,4279,4364,4441,4667,4874,4942,5065,5289,5478,5906,5517,5882,6302
ITL3,TLL18,Swansea,2581,2621,2727,2895,3024,3220,3504,3729,3888,4046,4196,4229,4208,4325,4415,4518,4899,4803,5041,5244,5537,5714,5353,5502,5774
ITL2,TLL2,East Wales,14312,14906,15777,16326,16997,18224,19088,19920,21001,22019,21947,22012,22419,23419,24447,25002,25444,26370,27637,28410,29675,30845,29928,31230,34136
ITL3,TLL21,Monmouthshire and Newport,2974,3107,3333,3430,3539,3816,4043,4189,4409,4585,4492,4401,4529,4687,4808,4789,4877,5100,5403,5578,6048,6231,5981,6130,6644
ITL3,TLL22,Cardiff and Vale of Glamorgan,6285,6716,7064,7368,7814,8398,8741,9243,9747,10389,10319,10532,10518,10866,11412,11693,12046,12393,13082,13510,13796,14494,14160,14858,16217
ITL3,TLL23,Flintshire and Wrexham,3813,3817,4027,4118,4174,4407,4630,4820,5127,5267,5413,5370,5624,6059,6343,6574,6510,6759,6987,7151,7583,7852,7562,7941,8725
ITL3,TLL24,Powys,1240,1266,1354,1410,1470,1602,1675,1668,1719,1778,1723,1709,1748,1807,1884,1946,2011,2118,2166,2170,2248,2268,2225,2300,2550
ITL1,TLM,Scotland,69965,70988,73871,78200,81330,86142,91809,97286,103795,108056,113180,112748,112671,115516,119101,124463,130302,131816,133983,140538,143341,148903,140724,151499,165714
ITL2,TLM5,North Eastern Scotland,8234,8215,8410,9069,9465,9571,10123,10693,12144,13594,15051,14768,15162,15661,16597,17658,18458,17945,16482,16482,16688,16933,15383,16089,17905
ITL3,TLM50,Aberdeen City and Aberdeenshire,8234,8215,8410,9069,9465,9571,10123,10693,12144,13594,15051,14768,15162,15661,16597,17658,18458,17945,16482,16482,16688,16933,15383,16089,17905
ITL2,TLM6,Highlands and Islands,5397,5657,5843,6112,6235,6835,7389,7884,8233,8501,9072,8993,9160,9683,9827,10171,10527,10626,10738,11555,11737,12227,11379,12165,13302
ITL3,TLM61,"Caithness and Sutherland, and Ross and Cromarty",995,1041,1084,1115,1150,1281,1363,1438,1504,1535,1603,1557,1556,1660,1718,1770,1850,1799,1831,1965,2004,2124,2063,2221,2463
ITL3,TLM62,"Inverness and Nairn, Moray, Badenoch and Strathspey",2364,2448,2519,2608,2663,2907,3138,3325,3502,3680,3990,3955,4143,4385,4414,4666,4799,4952,4986,5402,5543,5639,5239,5599,6193
ITL3,TLM63,"Lochaber, Skye and Lochalsh, Arran and Cumbrae, and Argyll and Bute",1135,1218,1268,1355,1379,1518,1652,1795,1861,1884,1972,1928,1884,1940,1981,2011,2068,2099,2183,2373,2397,2535,2278,2452,2691
ITL3,TLM64,Na h-Eileanan Siar,248,267,275,300,301,333,362,389,399,411,438,432,449,472,470,469,488,480,482,500,524,565,549,581,583
ITL3,TLM65,Orkney Islands,274,290,308,325,326,359,396,428,434,451,481,484,495,534,547,526,540,559,548,552,515,555,512,553,603
ITL3,TLM66,Shetland Islands,380,392,389,409,416,438,479,508,534,541,587,636,633,692,697,729,783,736,708,762,755,810,739,759,770
ITL2,TLM7,Eastern Scotland,25881,26118,27462,28926,30594,32836,35103,36913,39256,41070,41923,42487,42515,43052,44680,46549,48545,49939,52422,55069,56581,59124,55933,61037,66842
ITL3,TLM71,Angus and Dundee City,2896,2925,3109,3217,3340,3558,3717,3847,4073,4255,4357,4299,4349,4465,4565,4771,4991,4986,5123,5252,5439,5749,5400,5877,6330
ITL3,TLM72,Clackmannanshire and Fife,4235,4299,4454,4574,4766,5016,5257,5508,5990,6236,6501,6304,6337,6415,6651,6958,7387,7578,7801,8060,8066,8421,8227,8876,9690
ITL3,TLM73,East Lothian and Midlothian,1414,1446,1524,1574,1655,1755,1860,1919,2031,2119,2179,2126,2156,2235,2318,2549,2711,2842,2955,3123,3305,3449,3295,3638,3886
ITL3,TLM75,City of Edinburgh,9623,9741,10507,11376,12218,13260,14482,15321,16068,16912,16930,17806,17758,17777,18579,19313,20020,20518,22411,23882,24659,25759,24200,26582,29713
ITL3,TLM76,Falkirk,2067,2041,2111,2193,2268,2454,2602,2793,2965,3021,3252,3192,3221,3185,3170,3283,3413,3558,3560,3669,3814,3995,3800,4074,4199
ITL3,TLM77,"Perth and Kinross, and Stirling",3359,3313,3359,3510,3731,4014,4224,4446,4850,5090,5141,5342,5177,5284,5643,5983,6136,6308,6331,6634,6614,6943,6273,6816,7232
ITL3,TLM78,West Lothian,2287,2353,2399,2481,2617,2780,2961,3080,3278,3437,3564,3418,3516,3691,3754,3691,3887,4149,4241,4449,4685,4808,4737,5173,5791
ITL2,TLM8,West Central Scotland,20071,20425,21162,22564,23173,24423,26154,28030,29426,29949,31386,31008,30457,31376,31946,33377,35358,35813,36512,38614,39435,41231,39663,42987,46642
ITL3,TLM81,"East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond",1886,1935,2008,2139,2199,2319,2472,2674,2794,2826,2956,2895,2885,2993,2992,3068,3287,3338,3497,3690,3832,3974,3672,3991,4371
ITL3,TLM82,Glasgow City,10758,11047,11381,12189,12435,13142,14201,15378,16191,16685,17302,17309,16855,17356,17660,18503,19058,19210,19578,20671,21075,22250,21531,23438,25845
ITL3,TLM83,"Inverclyde, East Renfrewshire, and Renfrewshire",3647,3660,3868,4077,4223,4390,4654,4838,5036,4964,5283,5109,5061,5250,5396,5618,6117,6277,6246,6536,6627,6734,6447,7053,7218
ITL3,TLM84,North Lanarkshire,3781,3783,3905,4158,4317,4571,4827,5139,5405,5474,5845,5695,5656,5777,5898,6188,6897,6987,7191,7716,7901,8274,8013,8505,9208
ITL2,TLM9,Southern Scotland,10381,10573,10994,11530,11863,12477,13040,13767,14735,14941,15748,15493,15377,15744,16050,16708,17415,17493,17828,18818,18899,19387,18365,19222,21023
ITL3,TLM91,Scottish Borders,1324,1310,1352,1405,1458,1516,1559,1601,1704,1732,1803,1761,1779,1836,1862,1957,2110,2146,2157,2257,2367,2422,2335,2512,2506
ITL3,TLM92,Dumfries and Galloway,1879,1940,2065,2195,2236,2375,2464,2528,2662,2682,2847,2775,2704,2824,2881,3036,3165,3152,3220,3395,3393,3559,3397,3537,3782
ITL3,TLM93,East Ayrshire and North Ayrshire mainland,2311,2389,2477,2567,2576,2681,2782,2996,3207,3298,3452,3392,3385,3432,3515,3646,3737,3743,3822,4010,3974,4079,3989,4240,4720
ITL3,TLM94,South Ayrshire,1373,1396,1491,1564,1635,1693,1787,1872,1981,1958,2054,2039,2062,2102,2085,2089,2193,2226,2249,2361,2424,2446,2168,2263,2552
ITL3,TLM95,South Lanarkshire,3495,3539,3609,3798,3958,4213,4448,4769,5181,5271,5591,5526,5446,5550,5707,5981,6210,6226,6381,6795,6741,6881,6476,6670,7463
ITL1,TLN,Northern Ireland,19613,20721,22356,23274,24045,25966,27241,28755,30496,31577,31942,31366,31020,31656,32973,34040,35117,36403,38590,40166,41406,43816,42110,46193,49901
ITL2,TLN0,Northern Ireland,19613,20721,22356,23274,24045,25966,27241,28755,30496,31577,31942,31366,31020,31656,32973,34040,35117,36403,38590,40166,41406,43816,42110,46193,49901
ITL3,TLN06,Belfast,5640,5994,6464,6811,7099,7812,8319,8819,9305,9710,9878,9903,9582,9848,10056,10656,10767,11163,11857,12772,13189,13715,13067,14978,16187
ITL3,TLN07,"Armagh City, Banbridge and Craigavon",1642,1722,1845,1981,2036,2170,2284,2410,2573,2732,2733,2635,2655,2720,2795,2985,3140,3262,3536,3642,3889,4119,3942,4256,4575
ITL3,TLN08,"Newry, Mourne and Down",1294,1374,1489,1569,1618,1738,1824,1934,2055,2112,2178,2080,2057,2164,2264,2393,2551,2611,2797,2882,3016,3239,3127,3317,3606
ITL3,TLN09,Ards and North Down,1059,1113,1188,1247,1297,1386,1423,1528,1630,1681,1707,1623,1591,1646,1701,1654,1733,1741,1922,2019,2120,2240,2150,2252,2342
ITL3,TLN0A,Derry City and Strabane,1290,1353,1409,1461,1504,1692,1733,1895,2041,2039,2117,2113,2076,2121,2216,2250,2294,2330,2507,2657,2725,2954,2965,3119,3421
ITL3,TLN0B,Mid Ulster,1531,1628,1785,1842,1878,2080,2157,2278,2405,2513,2437,2197,2304,2340,2392,2578,2730,2838,2997,3097,3386,3678,3403,3769,4185
ITL3,TLN0C,Causeway Coast and Glens,1120,1188,1316,1333,1373,1491,1547,1628,1747,1787,1787,1724,1737,1812,1866,1883,1912,1911,2066,2154,2156,2245,2133,2330,2504
ITL3,TLN0D,Antrim and Newtownabbey,1608,1698,1826,1926,1981,2074,2156,2246,2389,2513,2483,2381,2410,2489,2542,2540,2716,2801,2924,3103,3183,3394,3409,3547,3746
ITL3,TLN0E,Lisburn and Castlereagh,1443,1524,1643,1743,1788,1916,1971,2092,2219,2304,2306,2265,2257,2312,2462,2527,2625,2769,2941,3017,3210,3445,3260,3563,3907
ITL3,TLN0F,Mid and East Antrim,1927,2013,2205,2119,2182,2218,2363,2346,2457,2485,2604,2793,2724,2558,2923,2903,2851,3164,3091,2764,2356,2491,2397,2581,2769
ITL3,TLN0G,Fermanagh and Omagh,1060,1114,1186,1244,1288,1390,1464,1578,1675,1702,1712,1652,1627,1645,1756,1671,1798,1813,1952,2061,2176,2295,2256,2481,2660
Other,TLZ,Extra-Regio,11900,13370,20063,19899,17560,17997,19264,22541,23629,22876,27134,18745,24020,26227,23363,21783,17659,10504,10510,14758,20187,18510,12346,12105,15620
UK,UKX,United Kingdom less Extra-Regio,887891,922815,967452,1011218,1054597,1114895,1170149,1237365,1302298,1367282,1414889,1391433,1424983,1458096,1508247,1568048,1643094,1698526,1764120,1842006,1900102,1977198,1885611,2034531,2230427
